Title ,Author/creator ,Date ,Description ,Keywords or Subject Tags ,Source ,License Type  ,
African history ,Philip D. Curtin,1964,A historical study of Africa published for educational purposes,"Africa, history, education",Open Library,Restricted,
Writing African history,John Edward Philips,2006,"It explores methodologies, critical approaches, and the diverse historical experiences across the African continent","Historiography, Africa Historiography, Africa History, Africa",Internet Archive ,Restricted,
"Shrines in Africa: History, Politics, and Society",Allan C. Dawson,2009," It helps to define ethnic boundaries, shape group identity, and symbolically articulate a society's connection with the land it occupies","Ethnic, Cultural, Identity",Europeana,Public ,
Pan-African History,Hakim Adi,2004,"This book explores the evolution of Pan-African thought, its fight against colonialism, and the unifying theme of equality and opposition to economic exploitation.","Pan-Africanism, African history, Pan-African activists, colonialism, nationalism.",Open Library,Restricted ,
The Journal of African History 2011: Vol 52 Index,Cambridge University Press,2011,It focuses on in-depth scholarly analyses of precolonial to colonial African history.,"Anthropology, Archaeology, History of Africa",Internet Archive,Public ,
South African History in Perspective,"Kekana, N. S.",1991,"The work explores the historical development of the nation, offering context for the country’s turbulent, divided and complex socio-political trajectory.",History,Europeana,Public ,
Born a Crime: Stories from a South African Childhood,Trevor Noah,2019,"Noah’s comedic memoir is a funny, personal and insightful social commentary of growing up as a mixed race child in a country still divided by racial segregation.","Memoir, apartheid, South Africa, childhood, race",Open Library,Restricted ,
Celebrating African American History,Montgomery County Public Schools - MCPS TV,2021,"This video from Montgomery County Public Schools (MCPS TV) pays tribute to African American history, focusing on the contributions and achievements of African Americans in the local community and beyond.",African American history,Internet Archive,Public ,
History of the transportation of December : The African Gaols,Charles. Ribeyrolles ,2010,This book looks at the historical context and impact of the transportation of people to African gaols (prisons) during the colonial period.,"African history, transportation, colonialism",Europeana,Restricted ,
Modern Africa : A Captivating Guide to Modern African History,Captivating History,2022,"Modern Africa is linked with a long history dominated by the struggles, pain and strength of a people whose story is not told enough.","Colonialism, independence movements, and post-colonial challenges",Open Library,Public  ,
The Literary History of the Igbo Novel - African Literature in African Languages,Ernest N. Emenyonu,2020,It traces the development of Igbo fiction from its oral tradition roots to modern literature.,"Cultural identity, affirmation, and local traditions",Internet Archive ,Public ,
"Review: Alexander Thurston, Boko Haram: The History of an African Jihadist Movement","Loimeier, Roman",2017,"This provides a comprehensive history of Boko Haram , a Nigeria-based jihadist group .","Political science, Political Process, Elections, Political Sociology, Political Culture",Europeana,Restricted ,
Black AF History: The un-Whitewashed Story of America,Michael Harriot,2025,"It tells American history that sets the record straight, and highlights the viewpoints and experiences of Black Americans.","American history, Black Americans",Open Library,Restricted ,
African History Unauthorised | Chris Worden on David Livingstone,John van Zyl,2021,"This documentary gives an overview of the life of David Livingstone, a Scottish missionary, explorer, and anti-slavery activist who traveled all over Africa.","David Livingstone, African history, missionary, explorer",Internet Archive ,Public ,
African Founders : How Enslaved People Expanded American Freedom,David Hackett Fischer,2022,"This book uses a extensive research to demonstrate how, in various parts of the early United States, enslaved Africans and their descendants expanded American conceptions of freedom.","African American history, slavery, early American history, American culture, freedom ",Open Library,Restricted ,
